datasetID,accessible,institution,dataStructure,cdm_data_type,class,title,minLongitude,maxLongitude,longitudeSpacing,minLatitude,maxLatitude,latitudeSpacing,minAltitude,maxAltitude,minTime,maxTime,timeSpacing,griddap,subset,tabledap,MakeAGraph,sos,wcs,wms,files,fgdc,iso19115,metadata,sourceUrl,infoUrl,rss,email,testOutOfDate,outOfDate,summary
,,,,,,,degrees_east,degrees_east,degrees_east,degrees_north,degrees_north,degrees_north,m,m,UTC,UTC,seconds,,,,,,,,,,,,,,,,,,
allDatasets,public,Great Lakes Observing System,table,Other,EDDTableFromAllDatasets,* The List of All Active Datasets in this ERDDAP *,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,https://seagull-erddap.glos.org/erddap/tabledap/allDatasets.subset,https://seagull-erddap.glos.org/erddap/tabledap/allDatasets,https://seagull-erddap.glos.org/erddap/tabledap/allDatasets.graph,,,,,,,https://seagull-erddap.glos.org/erddap/info/allDatasets/index,https://seagull-erddap.glos.org/erddap,https://seagull-erddap.glos.org/erddap,https://seagull-erddap.glos.org/erddap/rss/allDatasets.rss,https://seagull-erddap.glos.org/erddap/subscriptions/add.html?datasetID=allDatasets&showErrors=false&email=,,NaN,This dataset is a table which has a row of information for each dataset currently active in this ERDDAP.
obs_113,public,Chicago Park District,table,TimeSeries,EDDTableFromDatabase,"63rd St., Chicago, IL Weather Station",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,,https://seagull-erddap.glos.org/erddap/tabledap/obs_113,https://seagull-erddap.glos.org/erddap/tabledap/obs_113.graph,,,,,https://seagull-erddap.glos.org/erddap/metadata/fgdc/xml/obs_113_fgdc.xml,https://seagull-erddap.glos.org/erddap/metadata/iso19115/xml/obs_113_iso19115.xml,https://seagull-erddap.glos.org/erddap/info/obs_113/index,(source database),https://wqdatalive.com/public/16,https://seagull-erddap.glos.org/erddap/rss/obs_113.rss,https://seagull-erddap.glos.org/erddap/subscriptions/add.html?datasetID=obs_113&showErrors=false&email=,,NaN,"The weather station at Jackson Park on 63rd St in Chicago, IL (USA) was established and is maintained by the Chicago Park District. The purpose is to provide real-time meteorological information to the public. The station measures temperature, winds, precipitation, and other weather parameters."
glisa_ghcn_annual_ACMETONIA_LOCK_3_PA_C00360022_annual,public,NOAA (NOAA),table,TimeSeries,EDDTableFromNcFiles,ACMETONIA LOCK 3 PA - Annual - GLISA - GHCN,-79.8153,-79.8153,NaN,40.5361,40.5361,NaN,NaN,NaN,1895-01-01T00:00:00Z,2024-01-01T00:00:00Z,NaN,,,https://seagull-erddap.glos.org/erddap/tabledap/glisa_ghcn_annual_ACMETONIA_LOCK_3_PA_C00360022_annual,https://seagull-erddap.glos.org/erddap/tabledap/glisa_ghcn_annual_ACMETONIA_LOCK_3_PA_C00360022_annual.graph,,,,https://seagull-erddap.glos.org/erddap/files/glisa_ghcn_annual_ACMETONIA_LOCK_3_PA_C00360022_annual/,https://seagull-erddap.glos.org/erddap/metadata/fgdc/xml/glisa_ghcn_annual_ACMETONIA_LOCK_3_PA_C00360022_annual_fgdc.xml,https://seagull-erddap.glos.org/erddap/metadata/iso19115/xml/glisa_ghcn_annual_ACMETONIA_LOCK_3_PA_C00360022_annual_iso19115.xml,https://seagull-erddap.glos.org/erddap/info/glisa_ghcn_annual_ACMETONIA_LOCK_3_PA_C00360022_annual/index,(local files),https://glisa.umich.edu,https://seagull-erddap.glos.org/erddap/rss/glisa_ghcn_annual_ACMETONIA_LOCK_3_PA_C00360022_annual.rss,https://seagull-erddap.glos.org/erddap/subscriptions/add.html?datasetID=glisa_ghcn_annual_ACMETONIA_LOCK_3_PA_C00360022_annual&showErrors=false&email=,,NaN,ACMETONIA LOCK 3 PA Annual Summaries - National Centers for Environmental Information (NCEI) Global Historical Climatology Network Daily (GHCN-D) stations in the Great Lakes region
glisa_ghcn_daily_ACMETONIA_LOCK_3_PA_C00360022_daily,public,NOAA (NOAA),table,TimeSeries,EDDTableFromNcFiles,ACMETONIA LOCK 3 PA - Daily - GLISA - GHCN,-79.8153,-79.8153,NaN,40.5361,40.5361,NaN,NaN,NaN,1895-01-01T00:00:00Z,2024-09-10T00:00:00Z,NaN,,,https://seagull-erddap.glos.org/erddap/tabledap/glisa_ghcn_daily_ACMETONIA_LOCK_3_PA_C00360022_daily,https://seagull-erddap.glos.org/erddap/tabledap/glisa_ghcn_daily_ACMETONIA_LOCK_3_PA_C00360022_daily.graph,,,,https://seagull-erddap.glos.org/erddap/files/glisa_ghcn_daily_ACMETONIA_LOCK_3_PA_C00360022_daily/,https://seagull-erddap.glos.org/erddap/metadata/fgdc/xml/glisa_ghcn_daily_ACMETONIA_LOCK_3_PA_C00360022_daily_fgdc.xml,https://seagull-erddap.glos.org/erddap/metadata/iso19115/xml/glisa_ghcn_daily_ACMETONIA_LOCK_3_PA_C00360022_daily_iso19115.xml,https://seagull-erddap.glos.org/erddap/info/glisa_ghcn_daily_ACMETONIA_LOCK_3_PA_C00360022_daily/index,(local files),https://glisa.umich.edu,https://seagull-erddap.glos.org/erddap/rss/glisa_ghcn_daily_ACMETONIA_LOCK_3_PA_C00360022_daily.rss,https://seagull-erddap.glos.org/erddap/subscriptions/add.html?datasetID=glisa_ghcn_daily_ACMETONIA_LOCK_3_PA_C00360022_daily&showErrors=false&email=,,NaN,ACMETONIA LOCK 3 PA Daily Summaries - National Centers for Environmental Information (NCEI) Global Historical Climatology Network Daily (GHCN-D) stations in the Great Lakes region
glisa_ghcn_monthly_ACMETONIA_LOCK_3_PA_C00360022_monthly,public,NOAA (NOAA),table,TimeSeries,EDDTableFromNcFiles,ACMETONIA LOCK 3 PA - Monthly - GLISA - GHCN,-79.8153,-79.8153,NaN,40.5361,40.5361,NaN,NaN,NaN,1895-01-01T00:00:00Z,2024-09-01T00:00:00Z,NaN,,,https://seagull-erddap.glos.org/erddap/tabledap/glisa_ghcn_monthly_ACMETONIA_LOCK_3_PA_C00360022_monthly,https://seagull-erddap.glos.org/erddap/tabledap/glisa_ghcn_monthly_ACMETONIA_LOCK_3_PA_C00360022_monthly.graph,,,,https://seagull-erddap.glos.org/erddap/files/glisa_ghcn_monthly_ACMETONIA_LOCK_3_PA_C00360022_monthly/,https://seagull-erddap.glos.org/erddap/metadata/fgdc/xml/glisa_ghcn_monthly_ACMETONIA_LOCK_3_PA_C00360022_monthly_fgdc.xml,https://seagull-erddap.glos.org/erddap/metadata/iso19115/xml/glisa_ghcn_monthly_ACMETONIA_LOCK_3_PA_C00360022_monthly_iso19115.xml,https://seagull-erddap.glos.org/erddap/info/glisa_ghcn_monthly_ACMETONIA_LOCK_3_PA_C00360022_monthly/index,(local files),https://glisa.umich.edu,https://seagull-erddap.glos.org/erddap/rss/glisa_ghcn_monthly_ACMETONIA_LOCK_3_PA_C00360022_monthly.rss,https://seagull-erddap.glos.org/erddap/subscriptions/add.html?datasetID=glisa_ghcn_monthly_ACMETONIA_LOCK_3_PA_C00360022_monthly&showErrors=false&email=,,NaN,ACMETONIA LOCK 3 PA Monthly Summaries - National Centers for Environmental Information (NCEI) Global Historical Climatology Network Daily (GHCN-D) stations in the Great Lakes region
glisa_ghcn_seasonal_ACMETONIA_LOCK_3_PA_C00360022_seasonal,public,NOAA (NOAA),table,TimeSeries,EDDTableFromNcFiles,ACMETONIA LOCK 3 PA - Seasonal - GLISA - GHCN,-79.8153,-79.8153,NaN,40.5361,40.5361,NaN,NaN,NaN,1896-02-01T00:00:00Z,2024-11-01T00:00:00Z,NaN,,,https://seagull-erddap.glos.org/erddap/tabledap/glisa_ghcn_seasonal_ACMETONIA_LOCK_3_PA_C00360022_seasonal,https://seagull-erddap.glos.org/erddap/tabledap/glisa_ghcn_seasonal_ACMETONIA_LOCK_3_PA_C00360022_seasonal.graph,,,,https://seagull-erddap.glos.org/erddap/files/glisa_ghcn_seasonal_ACMETONIA_LOCK_3_PA_C00360022_seasonal/,https://seagull-erddap.glos.org/erddap/metadata/fgdc/xml/glisa_ghcn_seasonal_ACMETONIA_LOCK_3_PA_C00360022_seasonal_fgdc.xml,https://seagull-erddap.glos.org/erddap/metadata/iso19115/xml/glisa_ghcn_seasonal_ACMETONIA_LOCK_3_PA_C00360022_seasonal_iso19115.xml,https://seagull-erddap.glos.org/erddap/info/glisa_ghcn_seasonal_ACMETONIA_LOCK_3_PA_C00360022_seasonal/index,(local files),https://glisa.umich.edu,https://seagull-erddap.glos.org/erddap/rss/glisa_ghcn_seasonal_ACMETONIA_LOCK_3_PA_C00360022_seasonal.rss,https://seagull-erddap.glos.org/erddap/subscriptions/add.html?datasetID=glisa_ghcn_seasonal_ACMETONIA_LOCK_3_PA_C00360022_seasonal&showErrors=false&email=,,NaN,ACMETONIA LOCK 3 PA Seasonal Summaries - National Centers for Environmental Information (NCEI) Global Historical Climatology Network Daily (GHCN-D) stations in the Great Lakes region
glisa_ghcn_annual_ADA_HCN_MN_C00210018_annual,public,NOAA (NOAA),table,TimeSeries,EDDTableFromNcFiles,ADA HCN MN - Annual - GLISA - GHCN,-96.5161,-96.5161,NaN,47.2992,47.2992,NaN,NaN,NaN,1895-01-01T00:00:00Z,2024-01-01T00:00:00Z,NaN,,,https://seagull-erddap.glos.org/erddap/tabledap/glisa_ghcn_annual_ADA_HCN_MN_C00210018_annual,https://seagull-erddap.glos.org/erddap/tabledap/glisa_ghcn_annual_ADA_HCN_MN_C00210018_annual.graph,,,,https://seagull-erddap.glos.org/erddap/files/glisa_ghcn_annual_ADA_HCN_MN_C00210018_annual/,https://seagull-erddap.glos.org/erddap/metadata/fgdc/xml/glisa_ghcn_annual_ADA_HCN_MN_C00210018_annual_fgdc.xml,https://seagull-erddap.glos.org/erddap/metadata/iso19115/xml/glisa_ghcn_annual_ADA_HCN_MN_C00210018_annual_iso19115.xml,https://seagull-erddap.glos.org/erddap/info/glisa_ghcn_annual_ADA_HCN_MN_C00210018_annual/index,(local files),https://glisa.umich.edu,https://seagull-erddap.glos.org/erddap/rss/glisa_ghcn_annual_ADA_HCN_MN_C00210018_annual.rss,https://seagull-erddap.glos.org/erddap/subscriptions/add.html?datasetID=glisa_ghcn_annual_ADA_HCN_MN_C00210018_annual&showErrors=false&email=,,NaN,ADA HCN MN Annual Summaries - National Centers for Environmental Information (NCEI) Global Historical Climatology Network Daily (GHCN-D) stations in the Great Lakes region
glisa_ghcn_daily_ADA_HCN_MN_C00210018_daily,public,NOAA (NOAA),table,TimeSeries,EDDTableFromNcFiles,ADA HCN MN - Daily - GLISA - GHCN,-96.5161,-96.5161,NaN,47.2992,47.2992,NaN,NaN,NaN,1895-01-01T00:00:00Z,2024-09-10T00:00:00Z,NaN,,,https://seagull-erddap.glos.org/erddap/tabledap/glisa_ghcn_daily_ADA_HCN_MN_C00210018_daily,https://seagull-erddap.glos.org/erddap/tabledap/glisa_ghcn_daily_ADA_HCN_MN_C00210018_daily.graph,,,,https://seagull-erddap.glos.org/erddap/files/glisa_ghcn_daily_ADA_HCN_MN_C00210018_daily/,https://seagull-erddap.glos.org/erddap/metadata/fgdc/xml/glisa_ghcn_daily_ADA_HCN_MN_C00210018_daily_fgdc.xml,https://seagull-erddap.glos.org/erddap/metadata/iso19115/xml/glisa_ghcn_daily_ADA_HCN_MN_C00210018_daily_iso19115.xml,https://seagull-erddap.glos.org/erddap/info/glisa_ghcn_daily_ADA_HCN_MN_C00210018_daily/index,(local files),https://glisa.umich.edu,https://seagull-erddap.glos.org/erddap/rss/glisa_ghcn_daily_ADA_HCN_MN_C00210018_daily.rss,https://seagull-erddap.glos.org/erddap/subscriptions/add.html?datasetID=glisa_ghcn_daily_ADA_HCN_MN_C00210018_daily&showErrors=false&email=,,NaN,ADA HCN MN Daily Summaries - National Centers for Environmental Information (NCEI) Global Historical Climatology Network Daily (GHCN-D) stations in the Great Lakes region
glisa_ghcn_monthly_ADA_HCN_MN_C00210018_monthly,public,NOAA (NOAA),table,TimeSeries,EDDTableFromNcFiles,ADA HCN MN - Monthly - GLISA - GHCN,-96.5161,-96.5161,NaN,47.2992,47.2992,NaN,NaN,NaN,1895-01-01T00:00:00Z,2024-09-01T00:00:00Z,NaN,,,https://seagull-erddap.glos.org/erddap/tabledap/glisa_ghcn_monthly_ADA_HCN_MN_C00210018_monthly,https://seagull-erddap.glos.org/erddap/tabledap/glisa_ghcn_monthly_ADA_HCN_MN_C00210018_monthly.graph,,,,https://seagull-erddap.glos.org/erddap/files/glisa_ghcn_monthly_ADA_HCN_MN_C00210018_monthly/,https://seagull-erddap.glos.org/erddap/metadata/fgdc/xml/glisa_ghcn_monthly_ADA_HCN_MN_C00210018_monthly_fgdc.xml,https://seagull-erddap.glos.org/erddap/metadata/iso19115/xml/glisa_ghcn_monthly_ADA_HCN_MN_C00210018_monthly_iso19115.xml,https://seagull-erddap.glos.org/erddap/info/glisa_ghcn_monthly_ADA_HCN_MN_C00210018_monthly/index,(local files),https://glisa.umich.edu,https://seagull-erddap.glos.org/erddap/rss/glisa_ghcn_monthly_ADA_HCN_MN_C00210018_monthly.rss,https://seagull-erddap.glos.org/erddap/subscriptions/add.html?datasetID=glisa_ghcn_monthly_ADA_HCN_MN_C00210018_monthly&showErrors=false&email=,,NaN,ADA HCN MN Monthly Summaries - National Centers for Environmental Information (NCEI) Global Historical Climatology Network Daily (GHCN-D) stations in the Great Lakes region
glisa_ghcn_seasonal_ADA_HCN_MN_C00210018_seasonal,public,NOAA (NOAA),table,TimeSeries,EDDTableFromNcFiles,ADA HCN MN - Seasonal - GLISA - GHCN,-96.5161,-96.5161,NaN,47.2992,47.2992,NaN,NaN,NaN,1896-02-01T00:00:00Z,2024-11-01T00:00:00Z,NaN,,,https://seagull-erddap.glos.org/erddap/tabledap/glisa_ghcn_seasonal_ADA_HCN_MN_C00210018_seasonal,https://seagull-erddap.glos.org/erddap/tabledap/glisa_ghcn_seasonal_ADA_HCN_MN_C00210018_seasonal.graph,,,,https://seagull-erddap.glos.org/erddap/files/glisa_ghcn_seasonal_ADA_HCN_MN_C00210018_seasonal/,https://seagull-erddap.glos.org/erddap/metadata/fgdc/xml/glisa_ghcn_seasonal_ADA_HCN_MN_C00210018_seasonal_fgdc.xml,https://seagull-erddap.glos.org/erddap/metadata/iso19115/xml/glisa_ghcn_seasonal_ADA_HCN_MN_C00210018_seasonal_iso19115.xml,https://seagull-erddap.glos.org/erddap/info/glisa_ghcn_seasonal_ADA_HCN_MN_C00210018_seasonal/index,(local files),https://glisa.umich.edu,https://seagull-erddap.glos.org/erddap/rss/glisa_ghcn_seasonal_ADA_HCN_MN_C00210018_seasonal.rss,https://seagull-erddap.glos.org/erddap/subscriptions/add.html?datasetID=glisa_ghcn_seasonal_ADA_HCN_MN_C00210018_seasonal&showErrors=false&email=,,NaN,ADA HCN MN Seasonal Summaries - National Centers for Environmental Information (NCEI) Global Historical Climatology Network Daily (GHCN-D) stations in the Great Lakes region
glisa_ghcn_annual_ADDISON_HCN_NY_C00300023_annual,public,NOAA (NOAA),table,TimeSeries,EDDTableFromNcFiles,ADDISON HCN NY - Annual - GLISA - GHCN,-77.2344,-77.2344,NaN,42.1014,42.1014,NaN,NaN,NaN,1895-01-01T00:00:00Z,2024-01-01T00:00:00Z,NaN,,,https://seagull-erddap.glos.org/erddap/tabledap/glisa_ghcn_annual_ADDISON_HCN_NY_C00300023_annual,https://seagull-erddap.glos.org/erddap/tabledap/glisa_ghcn_annual_ADDISON_HCN_NY_C00300023_annual.graph,,,,https://seagull-erddap.glos.org/erddap/files/glisa_ghcn_annual_ADDISON_HCN_NY_C00300023_annual/,https://seagull-erddap.glos.org/erddap/metadata/fgdc/xml/glisa_ghcn_annual_ADDISON_HCN_NY_C00300023_annual_fgdc.xml,https://seagull-erddap.glos.org/erddap/metadata/iso19115/xml/glisa_ghcn_annual_ADDISON_HCN_NY_C00300023_annual_iso19115.xml,https://seagull-erddap.glos.org/erddap/info/glisa_ghcn_annual_ADDISON_HCN_NY_C00300023_annual/index,(local files),https://glisa.umich.edu,https://seagull-erddap.glos.org/erddap/rss/glisa_ghcn_annual_ADDISON_HCN_NY_C00300023_annual.rss,https://seagull-erddap.glos.org/erddap/subscriptions/add.html?datasetID=glisa_ghcn_annual_ADDISON_HCN_NY_C00300023_annual&showErrors=false&email=,,NaN,ADDISON HCN NY Annual Summaries - National Centers for Environmental Information (NCEI) Global Historical Climatology Network Daily (GHCN-D) stations in the Great Lakes region
glisa_ghcn_daily_ADDISON_HCN_NY_C00300023_daily,public,NOAA (NOAA),table,TimeSeries,EDDTableFromNcFiles,ADDISON HCN NY - Daily - GLISA - GHCN,-77.2344,-77.2344,NaN,42.1014,42.1014,NaN,NaN,NaN,1895-01-01T00:00:00Z,2024-09-10T00:00:00Z,NaN,,,https://seagull-erddap.glos.org/erddap/tabledap/glisa_ghcn_daily_ADDISON_HCN_NY_C00300023_daily,https://seagull-erddap.glos.org/erddap/tabledap/glisa_ghcn_daily_ADDISON_HCN_NY_C00300023_daily.graph,,,,https://seagull-erddap.glos.org/erddap/files/glisa_ghcn_daily_ADDISON_HCN_NY_C00300023_daily/,https://seagull-erddap.glos.org/erddap/metadata/fgdc/xml/glisa_ghcn_daily_ADDISON_HCN_NY_C00300023_daily_fgdc.xml,https://seagull-erddap.glos.org/erddap/metadata/iso19115/xml/glisa_ghcn_daily_ADDISON_HCN_NY_C00300023_daily_iso19115.xml,https://seagull-erddap.glos.org/erddap/info/glisa_ghcn_daily_ADDISON_HCN_NY_C00300023_daily/index,(local files),https://glisa.umich.edu,https://seagull-erddap.glos.org/erddap/rss/glisa_ghcn_daily_ADDISON_HCN_NY_C00300023_daily.rss,https://seagull-erddap.glos.org/erddap/subscriptions/add.html?datasetID=glisa_ghcn_daily_ADDISON_HCN_NY_C00300023_daily&showErrors=false&email=,,NaN,ADDISON HCN NY Daily Summaries - National Centers for Environmental Information (NCEI) Global Historical Climatology Network Daily (GHCN-D) stations in the Great Lakes region
glisa_ghcn_monthly_ADDISON_HCN_NY_C00300023_monthly,public,NOAA (NOAA),table,TimeSeries,EDDTableFromNcFiles,ADDISON HCN NY - Monthly - GLISA - GHCN,-77.2344,-77.2344,NaN,42.1014,42.1014,NaN,NaN,NaN,1895-01-01T00:00:00Z,2024-09-01T00:00:00Z,NaN,,,https://seagull-erddap.glos.org/erddap/tabledap/glisa_ghcn_monthly_ADDISON_HCN_NY_C00300023_monthly,https://seagull-erddap.glos.org/erddap/tabledap/glisa_ghcn_monthly_ADDISON_HCN_NY_C00300023_monthly.graph,,,,https://seagull-erddap.glos.org/erddap/files/glisa_ghcn_monthly_ADDISON_HCN_NY_C00300023_monthly/,https://seagull-erddap.glos.org/erddap/metadata/fgdc/xml/glisa_ghcn_monthly_ADDISON_HCN_NY_C00300023_monthly_fgdc.xml,https://seagull-erddap.glos.org/erddap/metadata/iso19115/xml/glisa_ghcn_monthly_ADDISON_HCN_NY_C00300023_monthly_iso19115.xml,https://seagull-erddap.glos.org/erddap/info/glisa_ghcn_monthly_ADDISON_HCN_NY_C00300023_monthly/index,(local files),https://glisa.umich.edu,https://seagull-erddap.glos.org/erddap/rss/glisa_ghcn_monthly_ADDISON_HCN_NY_C00300023_monthly.rss,https://seagull-erddap.glos.org/erddap/subscriptions/add.html?datasetID=glisa_ghcn_monthly_ADDISON_HCN_NY_C00300023_monthly&showErrors=false&email=,,NaN,ADDISON HCN NY Monthly Summaries - National Centers for Environmental Information (NCEI) Global Historical Climatology Network Daily (GHCN-D) stations in the Great Lakes region
glisa_ghcn_seasonal_ADDISON_HCN_NY_C00300023_seasonal,public,NOAA (NOAA),table,TimeSeries,EDDTableFromNcFiles,ADDISON HCN NY - Seasonal - GLISA - GHCN,-77.2344,-77.2344,NaN,42.1014,42.1014,NaN,NaN,NaN,1896-02-01T00:00:00Z,2024-11-01T00:00:00Z,NaN,,,https://seagull-erddap.glos.org/erddap/tabledap/glisa_ghcn_seasonal_ADDISON_HCN_NY_C00300023_seasonal,https://seagull-erddap.glos.org/erddap/tabledap/glisa_ghcn_seasonal_ADDISON_HCN_NY_C00300023_seasonal.graph,,,,https://seagull-erddap.glos.org/erddap/files/glisa_ghcn_seasonal_ADDISON_HCN_NY_C00300023_seasonal/,https://seagull-erddap.glos.org/erddap/metadata/fgdc/xml/glisa_ghcn_seasonal_ADDISON_HCN_NY_C00300023_seasonal_fgdc.xml,https://seagull-erddap.glos.org/erddap/metadata/iso19115/xml/glisa_ghcn_seasonal_ADDISON_HCN_NY_C00300023_seasonal_iso19115.xml,https://seagull-erddap.glos.org/erddap/info/glisa_ghcn_seasonal_ADDISON_HCN_NY_C00300023_seasonal/index,(local files),https://glisa.umich.edu,https://seagull-erddap.glos.org/erddap/rss/glisa_ghcn_seasonal_ADDISON_HCN_NY_C00300023_seasonal.rss,https://seagull-erddap.glos.org/erddap/subscriptions/add.html?datasetID=glisa_ghcn_seasonal_ADDISON_HCN_NY_C00300023_seasonal&showErrors=false&email=,,NaN,ADDISON HCN NY Seasonal Summaries - National Centers for Environmental Information (NCEI) Global Historical Climatology Network Daily (GHCN-D) stations in the Great Lakes region
glisa_ghcn_annual_ADRIAN_2_NNE_HCN_MI_C00200032_annual,public,NOAA (NOAA),table,TimeSeries,EDDTableFromNcFiles,ADRIAN 2 NNE HCN MI - Annual - GLISA - GHCN,-84.0158,-84.0158,NaN,41.9164,41.9164,NaN,NaN,NaN,1895-01-01T00:00:00Z,2024-01-01T00:00:00Z,NaN,,,https://seagull-erddap.glos.org/erddap/tabledap/glisa_ghcn_annual_ADRIAN_2_NNE_HCN_MI_C00200032_annual,https://seagull-erddap.glos.org/erddap/tabledap/glisa_ghcn_annual_ADRIAN_2_NNE_HCN_MI_C00200032_annual.graph,,,,https://seagull-erddap.glos.org/erddap/files/glisa_ghcn_annual_ADRIAN_2_NNE_HCN_MI_C00200032_annual/,https://seagull-erddap.glos.org/erddap/metadata/fgdc/xml/glisa_ghcn_annual_ADRIAN_2_NNE_HCN_MI_C00200032_annual_fgdc.xml,https://seagull-erddap.glos.org/erddap/metadata/iso19115/xml/glisa_ghcn_annual_ADRIAN_2_NNE_HCN_MI_C00200032_annual_iso19115.xml,https://seagull-erddap.glos.org/erddap/info/glisa_ghcn_annual_ADRIAN_2_NNE_HCN_MI_C00200032_annual/index,(local files),https://glisa.umich.edu,https://seagull-erddap.glos.org/erddap/rss/glisa_ghcn_annual_ADRIAN_2_NNE_HCN_MI_C00200032_annual.rss,https://seagull-erddap.glos.org/erddap/subscriptions/add.html?datasetID=glisa_ghcn_annual_ADRIAN_2_NNE_HCN_MI_C00200032_annual&showErrors=false&email=,,NaN,ADRIAN 2 NNE HCN MI Annual Summaries - National Centers for Environmental Information (NCEI) Global Historical Climatology Network Daily (GHCN-D) stations in the Great Lakes region
glisa_ghcn_daily_ADRIAN_2_NNE_HCN_MI_C00200032_daily,public,NOAA (NOAA),table,TimeSeries,EDDTableFromNcFiles,ADRIAN 2 NNE HCN MI - Daily - GLISA - GHCN,-84.0158,-84.0158,NaN,41.9164,41.9164,NaN,NaN,NaN,1895-01-01T00:00:00Z,2024-09-10T00:00:00Z,NaN,,,https://seagull-erddap.glos.org/erddap/tabledap/glisa_ghcn_daily_ADRIAN_2_NNE_HCN_MI_C00200032_daily,https://seagull-erddap.glos.org/erddap/tabledap/glisa_ghcn_daily_ADRIAN_2_NNE_HCN_MI_C00200032_daily.graph,,,,https://seagull-erddap.glos.org/erddap/files/glisa_ghcn_daily_ADRIAN_2_NNE_HCN_MI_C00200032_daily/,https://seagull-erddap.glos.org/erddap/metadata/fgdc/xml/glisa_ghcn_daily_ADRIAN_2_NNE_HCN_MI_C00200032_daily_fgdc.xml,https://seagull-erddap.glos.org/erddap/metadata/iso19115/xml/glisa_ghcn_daily_ADRIAN_2_NNE_HCN_MI_C00200032_daily_iso19115.xml,https://seagull-erddap.glos.org/erddap/info/glisa_ghcn_daily_ADRIAN_2_NNE_HCN_MI_C00200032_daily/index,(local files),https://glisa.umich.edu,https://seagull-erddap.glos.org/erddap/rss/glisa_ghcn_daily_ADRIAN_2_NNE_HCN_MI_C00200032_daily.rss,https://seagull-erddap.glos.org/erddap/subscriptions/add.html?datasetID=glisa_ghcn_daily_ADRIAN_2_NNE_HCN_MI_C00200032_daily&showErrors=false&email=,,NaN,ADRIAN 2 NNE HCN MI Daily Summaries - National Centers for Environmental Information (NCEI) Global Historical Climatology Network Daily (GHCN-D) stations in the Great Lakes region
glisa_ghcn_monthly_ADRIAN_2_NNE_HCN_MI_C00200032_monthly,public,NOAA (NOAA),table,TimeSeries,EDDTableFromNcFiles,ADRIAN 2 NNE HCN MI - Monthly - GLISA - GHCN,-84.0158,-84.0158,NaN,41.9164,41.9164,NaN,NaN,NaN,1895-01-01T00:00:00Z,2024-09-01T00:00:00Z,NaN,,,https://seagull-erddap.glos.org/erddap/tabledap/glisa_ghcn_monthly_ADRIAN_2_NNE_HCN_MI_C00200032_monthly,https://seagull-erddap.glos.org/erddap/tabledap/glisa_ghcn_monthly_ADRIAN_2_NNE_HCN_MI_C00200032_monthly.graph,,,,https://seagull-erddap.glos.org/erddap/files/glisa_ghcn_monthly_ADRIAN_2_NNE_HCN_MI_C00200032_monthly/,https://seagull-erddap.glos.org/erddap/metadata/fgdc/xml/glisa_ghcn_monthly_ADRIAN_2_NNE_HCN_MI_C00200032_monthly_fgdc.xml,https://seagull-erddap.glos.org/erddap/metadata/iso19115/xml/glisa_ghcn_monthly_ADRIAN_2_NNE_HCN_MI_C00200032_monthly_iso19115.xml,https://seagull-erddap.glos.org/erddap/info/glisa_ghcn_monthly_ADRIAN_2_NNE_HCN_MI_C00200032_monthly/index,(local files),https://glisa.umich.edu,https://seagull-erddap.glos.org/erddap/rss/glisa_ghcn_monthly_ADRIAN_2_NNE_HCN_MI_C00200032_monthly.rss,https://seagull-erddap.glos.org/erddap/subscriptions/add.html?datasetID=glisa_ghcn_monthly_ADRIAN_2_NNE_HCN_MI_C00200032_monthly&showErrors=false&email=,,NaN,ADRIAN 2 NNE HCN MI Monthly Summaries - National Centers for Environmental Information (NCEI) Global Historical Climatology Network Daily (GHCN-D) stations in the Great Lakes region
obs_95,public,Aexonis,table,TimeSeries,EDDTableFromDatabase,Aexonis test,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,,,https://seagull-erddap.glos.org/erddap/tabledap/obs_95,https://seagull-erddap.glos.org/erddap/tabledap/obs_95.graph,,,,,https://seagull-erddap.glos.org/erddap/metadata/fgdc/xml/obs_95_fgdc.xml,https://seagull-erddap.glos.org/erddap/metadata/iso19115/xml/obs_95_iso19115.xml,https://seagull-erddap.glos.org/erddap/info/obs_95/index,(source database),https://aexonis.com/,https://seagull-erddap.glos.org/erddap/rss/obs_95.rss,https://seagull-erddap.glos.org/erddap/subscriptions/add.html?datasetID=obs_95&showErrors=false&email=,,NaN,"Aexonis testing 1, 2, 3"
